ORIGINAL_TITLE|TITLE|ID|PRODUCTION|YEAR|RUNTIME|GENERES|RATING|N_VOTES|DIRECTOR|WRITERS|ACTORS
The House That Jack Built|La casa di Jack|tt4615254|['FR', 'DE', 'SE', 'DK']|2018|152|['Thriller', 'Horror', 'Crime', 'Drama', 'European']|6.8|70574.0|['Anders Refn', 'Lars von Trier']|['Lars von Trier', 'Jenle Hallund']|['Matt Dillon', 'Bruno Ganz', 'Uma Thurman', 'Siobhan Fallon Hogan', 'Sofie Gråbøl', 'Riley Keough', 'Jeremy Davies', 'Jack McKenzie', 'Mathias Hjelm', 'Ed Speleers', 'Emil Tholstrup', 'Marijana Jankovic', 'Carina Skenhede', 'Rocco Day', 'Cohen Day', 'Robert Jezek', 'Osy Ikhile', 'Christian Arnold', 'Yoo Ji-Tae', 'Johannes Kuhnke', 'Jerker Fahlström', 'David Bailie', 'Robert G. Slade', 'Vasilije Mujka', 'Idi Amin', 'Glenn Gould', 'Adolf Hitler', 'Zedong Mao', 'Benito Mussolini', 'Ola Normelli', 'Lisa Sjöholm', 'Albert Speer', 'Cameron Spurr', 'Iosif Stalin', 'Jesper Tønnes']
A Simple Favor|Un piccolo favore|tt7042558|['CA', 'US']|2018|117|['Thriller', 'Drama', 'Comedy', 'Crime']|6.8|143111.0|['Paul Feig']|['Darcey Bell', 'Jessica Sharzer']|"['Anna Kendrick', 'Ian Ho', 'Joshua Satine', 'Glenda Braganza', 'Andrew Rannells', 'Kelly McCormack', 'Aparna Nancherla', 'Jiah Mavji', 'Ava LaFramboise', 'Blake Lively', 'Henry Golding', 'Dustin Milligan', 'Danielle Bourgon', 'Gia Sandhu', 'Lila Yee', 'Zach Smadu', 'Andrew Moodie', 'Sugenja Sri', 'Rupert Friend', 'Patti Harrison', 'Jason Oliveira', 'Noorin Gulamgaus', 'Katherine Cullen', 'Bashir Salahuddin', 'Howard Hoover', 'Ronnie Rowe', 'Melody Johnson', ""Melissa O'Neil"", 'Eric Johnson', 'Linda Cardellini', 'Paul Jurewicz', 'Sarah Baker', 'Jean Smart', 'Roger Dunn', 'Corinne Conley', 'Olivia Sandoval', 'Nicole Peters', 'Lauren Peters', 'Umed Amin', 'Jamie Jones', 'Lesleh Donaldson', 'Tina Legris', 'Chris Owens', 'Geoffrey Antoine', 'Rosanna Scotto', 'Lorene Stokes', 'Stacey Coke', 'Jung-Yul Kim', 'Domenic Cina', 'Julio Benitez Guardiola', 'Debra Kaiser', 'Carmen Araiza', 'Michael Park Ingram', 'Glen Brough', 'Jeremy Anthony', 'Cyndy Day', 'Daisy Fernando', 'Kerry-Lee Finkle', 'Jake Gosden', 'Lucas Kalechstein', 'Stephanie Moua', 'Cristian Perri', 'Kimberly Rowntree', 'Allison Wilson-Forbes']"
Hitman's Wife's Bodyguard|Come Ti Ammazzo il Bodyguard 2: La Moglie Del Sicario|tt8385148|['US']|2021|117|['Thriller', 'Action', 'Comedy', 'Crime']|6.1|79881.0|['Patrick Hughes']|"[""Tom O'Connor"", 'Phillip Murphy', 'Brandon Murphy']"|['Ryan Reynolds', 'Stewart Alexander', 'Samuel L. Jackson', 'Tsuwayuki Saotome', 'Rebecca Front', 'Noortje Herlaar', 'Michael Gor', 'Georgie Glen', 'Barry Atsma', 'Tine Joustra', 'Gary Oldman', 'Mariana Vekilska', 'Brian Caspe', 'Danko Jordanov', 'Antonio Banderas', 'Simón Andreu', 'Sergio Torrico', 'Salma Hayek', 'Ahmet Mehmet', 'Blake Ritson', 'Tom Hopper', 'Gabriella Wright', 'Kristofer Kamiyasu', 'Roy Hill', 'Sabrina Hill', 'Frank Grillo', 'Caroline Goodall', 'Alice McMillan', 'Didi Anderson', 'Ivan Djuricic', 'Miltos Yerolemou', 'Genko Ivanov', 'Nikola Ceran', 'Tin Matijevic', 'Martina Drakulic', 'Petra Kusan', 'Patrick Hughes', 'Vasil Yordanov', 'Richard E. Grant', 'Dragan Micanovic', 'Genevive Barker', 'Adrian Fekete', 'Harry Taurasi', 'James Beaufort', 'Tomi May', 'Mislav Cavajda', 'Jonas Talkington', 'Mariana Hill', 'Anna-Maria Everett', 'Morgan Freeman', 'Michael Aston', 'Ivor Bagaric', 'Csilla Barath-Bastaic', 'Russell De Rozario', 'Amar Bukvic', 'Enzo Squillino Jr.', 'Jonny James', 'Venice Smith', 'Giulio Berruti', 'Antonio Scarpa', 'Rodolfo Corsato', 'Ivo Arakov', 'Kamontip Krissy Ashton', 'Ana Maria Aver', 'Tom Barnett', 'Patrycja Bodzek', 'Bekka Bowling', 'Bern Collaço', 'Nathan Cooper', 'Pamela Betsy Cooper', 'Rok Cvetkov', 'Kateryna Globa', 'Dimitar Ilkov', 'Roger King', 'Max Kraus', 'Adnan Kundi', 'Marek Lichtenberg', 'Prince Marfo', 'Charlotte Nash', 'Jess Nesling', 'Kate Nichols', 'Todor Parpulov', 'Hiten Patel', 'Ivana Radjenovic', 'Jas Rivers', 'Mason Shortland', 'Mihai Tuca', 'Petra Vukelic']
Green Book|Green Book|tt6966692|['US']|2018|130|['Comedy', 'Drama', 'Music']|8.2|457069.0|['Peter Farrelly']|['Nick Vallelonga', 'Brian Hayes Currie', 'Peter Farrelly']|['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco', 'Dimiter D. Marinov', 'Mike Hatton', 'P.J. Byrne', 'Joe Cortese', 'Maggie Nixon', 'Von Lewis', 'Jon Sortland', 'Don Stark', 'Anthony Mangano', 'Paul Sloan', 'Quinn Duffy', 'Seth Hurwitz', 'Hudson Galloway', 'Gavin Lyle Foley', 'Rodolfo Vallelonga', 'Louis Venere', 'Frank Vallelonga', 'Don DiPetta', 'Jenna Laurenzo', 'Suehyla El-Attar Young', 'Kenneth Israel', 'Derrick Spears', 'Johnny Williams', 'Randal Gonzalez', 'Iqbal Theba', 'Sharon Landry', 'Nick Vallelonga', 'David An', 'Mike Cerrone', 'Peter Gabb', 'Gertrud Sigle', 'Geraldine Singer', 'Ron Flagge', 'Martin Bats Bradford', 'Ted Huckabee', 'Gralen Bryant Banks', 'Sam Malone', 'Floyd Miles', 'David Kallaway', 'James W. Evermore', 'Harrison Stone', 'Ricky Muse', 'Tom Virtue', 'Christina Simpkins', 'Kermit Burns III', 'Lindsay Brice', 'Shane Partlow', 'Daniel Greene', 'Brian Distance', 'Craig DiFrancia', 'Dennis W. Hall', 'Leslie Castay', 'David Simpson', 'Jim Klock', 'Billy Breed', 'Dane Rhodes', 'Brian Stepanek', 'Jon Michael Davis', 'Montrel Miller', 'Ninja N. Devoe', 'Brian Hayes Currie', 'Ethan Airhart', 'Lexi Elizabeth Audler', 'Brett Beoubay', 'Corey Booth', 'Rusty Bourg', 'Tracy Brotherton', 'Rebecca Chulew', 'Jay Conlin', 'John Currie', 'Karen Dalferes', 'Douglas DeLisle', 'Jared Drennan', 'John Frederick', 'William E. Harris', 'Shawn Bradly Hoefer', 'Jessica Underwood James', 'Jackie Jenkins Jr.', 'Andreanna L Jenson', 'DeJuon Joseph', 'Karn Kalra', 'Steve Kish', 'Jeffrey Klemmer', 'Ken Knight', 'Kate Kuen', 'Emily LaGroue', 'Cynthia LeBlanc', 'Elton LeBlanc', 'Bruce Vincent Logan', 'Tonya Maldonado', 'Phil Meyer', 'Arnold Montey', 'Lauretta Morrison', 'Shane Pagano', 'Marine Pascetta', 'Ron M Patterson', 'Jeffrey Riseden', 'Lindsay Small Barrios', 'Toney Chapman Steele', 'Mike A. Young']
Being the Ricardos|A proposito dei Ricardo|tt4995540|['US']|2021|132|['Drama', 'History']|6.6|35779.0|['Aaron Sorkin']|['Aaron Sorkin']|['Nicole Kidman', 'Javier Bardem', 'J.K. Simmons', 'Nina Arianda', 'Tony Hale', 'Alia Shawkat', 'Jake Lacy', 'Linda Lavin', 'Ronny Cox', 'John Rubinstein', 'Clark Gregg', 'Nelson Franklin', 'Jeff Holman', 'Jonah Platt', 'Christopher Denham', 'Brian Howe', 'Ron Perkins', 'Baize Buzan', 'Matt Cook', 'Josh Bednarsky', 'Dana Lyn Baron', 'Dan Sachoff', 'Max Silvestri', 'Renee Pezzotta', 'Chris Wolfe', 'Breanna Wing', 'Caroline Anderson', 'Jamie Miller', 'Gail Rastorfer', 'Russ Burd', 'Guido Cocomello', 'John Funk', 'Angela Leib', 'David Saenz', 'Stephanie Lesh-Farrell', 'Ron Ostrow', 'Pamela Mitchell', 'Lawrence Novikoff', 'Jack Benza', 'Peter Onorati', 'Evie Nicholson', 'Rick Batalla', 'John F. Carpenter', 'Melinda Sullivan', 'Christian Roberts', 'Gus Lynch', 'Allan Wayne Anderson', 'David Fyne', 'Val Chmerkovskiy', 'Asiel Hardison', 'Reina Hidalgo', 'Jenna Johnson', 'Will Loftis', 'Noelle Marsh', 'Leo Moctezuma', 'Nayara Núñez', 'Britt Stewart', 'Eddie Torres Jr.', 'James Patrick Duffy', 'Emily Marsh', 'Cece Camps', 'Daniel Armella', 'Molly Meyer', 'Shiree Nelson', 'Bennie Arthur', 'Daniela Azuaje', 'Benedikt Brydern', 'Audra Buras', 'Jenya Chaplin', 'Ian James Corlett', 'Jack Daniel', 'Louis Delavenne', 'Amanda J. Dobos', 'Lori Dorfman', 'Kate Ellie Fitzgerald', 'Mary Flynn', 'Paul Riley Fox', 'Dina Freberg', 'Sarah Hamilton', 'Bob Honest', 'James Hutson', 'Artur Lago-V', 'Vincent Lionetti', 'Fedor Lobov', 'Luke Matheis', 'Heywood McGuffee', 'Molly Nevola', 'Alexa Niemi', 'Jekyns Pelaez', 'Luke Persiani', 'Robert Pine', 'Jeremiah Ripley', 'Bruce M. Stockert']
Vice|Vice - L'uomo nell'ombra|tt6267522|['US']|2018|132|['Drama', 'Documentation', 'Comedy']|7.2|139439.0|['Adam McKay']|['Adam McKay']|"['Christian Bale', 'Amy Adams', 'Steve Carell', 'Sam Rockwell', 'Alison Pill', 'Eddie Marsan', 'Justin Kirk', 'LisaGay Hamilton', 'Jesse Plemons', 'Bill Camp', 'Don McManus', 'Lily Rabe', 'Shea Whigham', 'Stephen Adly Guirgis', 'Tyler Perry', 'Josh Latzer', 'Jeff Bosley', 'Camille James Harman', 'Jillian Armenante', 'Matthew Jacobs', 'Robert L. Hughes', 'Scott Christopher', 'Amir Malaklou', 'Paul Perri', 'Edward Fletcher', 'Brian Chung', 'Kawa Mawlayee', 'Alex MacNicoll', 'Cailee Spaeny', 'Brandon Sklenar', 'Casey Sander', 'Joe Sabatino', 'Fay Masterson', 'Dan Gilvary', 'Stephen Friedrich', 'Kyle S. More', 'Robyn Wholey', 'Betsy Koch', 'Elliot Zetumer', 'Kirk Bovill', 'Violet Hicks', 'Colyse Harger', 'Brandon Bales', 'Brian Poth', 'Sam Massaro', 'Doug Simpson', 'Scott Subiono', 'Dennis LaValle', 'Al Carabello', 'Melissa K. Marks', 'Treisa Gary', 'Chris Dougherty', 'John Hillner', 'Grace Rowe', 'Michael Reilly Burke', 'Staci Roberts Steele', 'William Goldman', 'Tony Forsmark', 'Adam Bartley', 'Daniel Bruington', 'Vishesh Chachra', 'Kevin Flood', 'Michael A. Naggi', 'Melissa Schumacher', 'Delpaneaux Wills', 'Scott Alan Smith', 'Paul Yoo', 'Brandon Firla', 'Omid Zader', 'David Yahya', 'Karim Saleh', 'Terri Cavanaugh', 'Stewart J. Zully', 'Ptolemy Slocum', 'Melody Hollis', 'Matt Champagne', 'Joseph Beck', 'Tony Graham', 'Alex Kingi', 'Vanessa Cloke', 'David Fabrizio', 'Matt Miller', 'Mark Bramhall', 'Holly Hawkins', 'John Kellar', 'Dustin Green', 'James Hornbeck', 'Robert Loftin', 'Kevin Symons', 'Stacie Greenwell', 'Amy Moorman', 'Marc Abbink', 'Amber Alexander', 'Gary Anderson', 'Kofi Annan', 'Ashlen Aquila', 'Bailey Ardies', 'Kris Arnold', 'Andreas Arristos', 'Robert Artz', 'Ronnie Ashury', 'David Babbitt', 'Gary Ballard', 'Danny Barba', 'Kevyn Bashore', 'Scott Alan Berk', 'Joseph Bezenek', 'Osama bin Laden', 'Tony Blair', 'Dylan James Boland', 'Michael Bombolo', 'Rocky Bonifield', 'Andrew Borene', 'Lesley Ann Braun', 'Tom Brokaw', 'Todd Aaron Brotze', 'Gordon Brown', 'John Burke', 'Liz Burnette', 'Bill Burns', 'Christopher M. Campos', 'Zoe Michele Campos', 'Jimmy Carter', 'Javier Chavarin', 'Caroline Clements', 'Hillary Clinton', 'Andrew Constantini', 'Vicki Jo Costanzo', 'Jonathan Cowley', 'Tony Cronin', 'Dan Crowley', 'Shaun Daley', 'Victor Dante', 'Rick L. Dean', 'Sonia Debreczeni', 'Adrian Dev', 'Michael DiBacco', 'Paloma Dominguez', 'Nick Drago', 'Allie Duncan', 'Karolina Kennedy Durrence', 'Zouhair Elghazi', 'Michelle Ells', 'Jonah Falcon', 'Joschka Fischer', 'Ethan Flower', 'Jane Fonda', 'Aidan Gail', 'Michael Garvey', 'Whoopi Goldberg', 'Travis Grenke', 'Chet Grissom', 'Mustafa Haidari', 'Valerie Hall', 'Gordon Hart', 'Calissa Hatfield', 'Tyler Hayse', 'Scott Hislop', 'Benjamin Hoekstra', 'R Scott Hoffman', 'Pilar Holland', 'Ginger Horne', 'Tara Nicole Hughes', 'Sean T. James', 'Abraham Justice', 'Michael Lawrence Kaye', 'Dan Kinsella', 'Henry Kissinger', 'Alex Knight', 'Jennifer Lamar', 'Richard Lawrence', 'Angela Leib', 'Alex Leontev', 'Elizabeth Liang', 'Matan Mallinger', 'Vanessa Marie', 'Abigail Marlowe', 'Casey McDougal', 'Neal McNeil', 'Matt Merchant', 'Capri Milian', 'Palena Milian', 'Roman Mitichyan', 'Alfred Molina', 'Anita Moore', 'Shannon Mosley', 'Mr. T', 'Benito Mussolini', 'Stef Nicoli', 'Richard Nixon', 'Sabina Nogic', 'Matt Nolan', ""Damon O'Daniel"", 'Barack Obama', 'Michelle Obama', 'Don Pecchia', 'Mike Pence', 'William Pierce', 'Kevin Pitcairn', 'Tyson Power', 'Allie Pratt', 'Bill Prudich', 'Deepak Raj', 'Bubba Dean Rambo', 'Nancy Reagan', 'Ronald Reagan', 'David Philip Reed', 'John Roberts', 'Antonio Rosa', 'Saint Santos', 'Kelsey Saunders', 'Frank Scozzari', 'Jeff Sessions', 'Obie Sims', 'Paige Smith', 'Tiffany Smith', 'Rome Stephens', 'Katherine Stephens-Miller', 'Chuck Taber', 'Tim Trobec', 'Mirco Tscharner', 'Scott Vance', 'John Davis Walker', 'Trent Walker', 'Barbara Walters', 'Marla Aaron Wapner', 'Naomi Watts', 'Alex Wexo', 'Eric White', 'Cheyenne Wilbur', 'Time Winters', 'Jeff Witzke', 'Dean Wood', 'Andrea Wright', 'Alina Zilbershmidt']"
Promises|Promises|tt10042788|['IT']|2021|113|['Drama']|5.6|103.0|['Amanda Sthers']|['Amanda Sthers']|['Pierfrancesco Favino', 'Kelly Reilly', 'Jean Reno', 'Cara Theobold', 'Kris Marshall', 'Deepak Verma', 'Leon Hesby', 'Ginnie Watson', 'Marie Mouté', 'Mary Louise Gray', 'Giulio Corso', 'Franca Abategiovanni', 'Douglas Dean', 'Freddy Drabble', 'Michael Fitzpatrick', 'Gabriele Forte', 'Giulia Gabriele', 'Ethan Hunsinger', 'Marco Iannone', 'Alice Maselli', 'Nick Rea', 'Alessandro Riceci', 'Yvonne Sciò', 'Gaia Scodellaro', 'Marco Ar Carboni']
2067|2067 - Battaglia per il futuro|tt1918734|['AU']|2020|114|['Thriller', 'Scifi']|4.9|8654.0|['Seth Larney']|['Seth Larney', 'Gareth Davies', 'Galvin Scott Davis', 'Dave Paterson']|"['Aaron Glenane', 'Kodi Smit-McPhee', 'Ryan Kwanten', 'Finn Little', 'Deborah Mailman', ""Sana'a Shaik"", 'Matt Testro', 'Damian Walshe-Howling', 'Leeanna Walsman', 'Aidan Gillett', 'Craig McArdle', 'Andy McPhee', 'Chris Mitchell', 'Checc Musolino', 'Rachael Wegener', 'Janet Tan', 'Meme Thorne', 'Rory Walker', 'Natasha Wanganeen', 'Judd Wild', 'Paul Prenzler', 'Bec Janek', 'Anna Dadic', 'Charles Aldrige', 'V. Wasylczenko', 'Don Manul', 'Rashidi Edward']"
The Hating Game|Ti odio, anzi no, ti amo!|tt8718158|['US']|2021|102|['Comedy', 'Romance']|6.3|9527.0|['Peter Hutchings']|['Christina Mengert', 'Sally Thorne']|['Lucy Hale', 'Austin Stowell', 'Damon Daunno', 'Sakina Jaffrey', 'Corbin Bernsen', 'Yasha Jackson', 'Sean Cullen', 'Nance Williamson', 'Shona Tucker', 'Brock Yurich', 'Robby Johnson', 'Tania Asnes', 'Nicholas Baroudi', 'David Ebert', 'Kathryn Boswell', 'Crystal Tweed', 'Kevin Carrigan', 'Katie Lynn Johnson', 'Richard Hutchings', 'Kat Gonzalez', 'Ray Faiola', 'Mariana Leung', 'Erica Marquez', 'Vinnie Velez', 'Jermaine Wells']
Snake Eyes: G.I. Joe Origins|Snake Eyes: G.I. Joe - Le origini|tt8404256|['CA', 'JP', 'US']|2021|121|['Action', 'Scifi', 'Thriller', 'Fantasy']|5.4|33114.0|['Robert Schwentke']|['Evan Spiliotopoulos', 'Joe Shrapnel', 'Anna Waterhouse']|"['Henry Golding', 'Andrew Koji', 'Haruka Abe', 'Takehiro Hira', 'Eri Ishida', 'Iko Uwais', 'Peter Mensah', 'Úrsula Corberó', 'Samara Weaving', 'Samuel Finzi', 'Steven Allerick', 'Max Archibald', 'Simon Chin', 'Derrick de Villiers', 'Kento Matsunami', 'James Hiroyuki Liao', 'Kenji Tanigaki', 'Dean Muhtadi', 'Sean Owen Roberts', 'Jason Day', 'Kojun Notsu', 'Neal Honda', 'Ryan Klarenbach', 'Owen Szabo', 'Brandon Melendy', 'Gui DaSilva-Greene', 'Solomon Brende', 'Samuel LeBrasseur', ""Hugh Aodh O'Brien"", 'Michael Gaines', 'Paul Cheng', 'Calum Dench', 'Nicholas Dohy', 'Kenyon Ebole-Gordon', 'Masashi Ishizuka', 'Shota Kakibata', 'Kasey Ryne Mazak', 'NF Ravi']"
Hunter Killer|Hunter Killer - Caccia negli abissi|tt1846589|['GB', 'US', 'CN']|2018|122|['Thriller', 'Action']|6.6|61477.0|['Donovan Marsh']|['Arne Schmidt', 'Jamie Moss', 'George Wallace', 'Don Keith']|"['Ethan Baird', 'Jacob Scipio', 'Dempsey Bovell', 'Corey Johnson', 'Adam James', 'Common', 'Henry Goodman', 'Colin Stinton', 'Gary Oldman', 'Gerard Butler', 'Carter MacIntyre', 'Shane Taylor', 'Kola Bokinni', 'Mikey Collins', 'Will Attenborough', 'Kieron Bimpson', 'David Gyasi', 'Michael Jibson', 'Christopher Goh', 'Brian Kinney', 'Sarah Middleton', 'Taylor John Smith', 'Gabriel Chavarria', 'Cosmo Jarvis', 'Linda Cardellini', 'Toby Stephens', 'Michael Trucco', 'Ryan McPartlin', 'Zane Holtz', 'Alexander Diachenko', 'Yuri Kolokolnikov', 'Michael Gor', 'Igor Jijikine', 'Ilia Volok', 'Hristo Mitzkov', 'Stefan Ivanov', 'Michael Nyqvist', 'Caroline Goodall', 'David Yelland', 'Stuart Milligan', 'Robert-Anthony Artlett', 'Lee Asquith-Coe', 'Theo Barklem-Biggs', 'Ahmed Belber', 'Aleksandar Belovski', 'Ross Carter', 'Nathan Cooper', 'Bradley Crees', 'Dino Fazzani', 'Richard Hills Jr.', 'Michael Hoad', 'Justified', 'Marian Lorencik', 'Jake Mann', 'Jason Matthewson', 'Elizabeth McCafferty', 'Stephen McDade', 'Paul A Munday', 'Halima Nagori', 'Jason Newell', ""Niall D O'Loughlin"", 'Charlie Oginni', 'Michael On', 'Stephanie Pezolano', 'Bernardo Santos', 'Atanas Srebrev', 'Debra Tammer', 'Nadia Townsend', 'Stuart Whelan', 'John Whitby']"
A Quiet Place Part II|A Quiet Place II|tt8332922|['US']|2021|97|['Thriller', 'Horror', 'Scifi', 'Drama']|7.2|201948.0|['John Krasinski']|['John Krasinski', 'Bryan Woods', 'Scott Beck']|"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds', 'Noah Jupe', 'Cillian Murphy', 'Djimon Hounsou', 'Okieriete Onaodowan', 'Scoot McNairy', 'Zachary Golinger', 'Blake DeLong', 'Stefania Warwick', 'Alycia Ripley', 'Cristalis Bonilla', 'Domonic Taggart', 'Silas Pereira-Olson', 'Alice Sophie Malyukova', 'Ashley Dyke', 'Dean Woodward', 'Barbara Singer', 'David Lundy', 'Michaela Pace', 'Mark Bogumil', 'Liz Cameron', 'Joe Cappelli', 'Kadrolsha Ona Carole', 'Robert A. Coldicott', 'Michael Alan Collette', 'Chad Corbi', 'Lauren-Ashley Cristiano', 'Wayne Duvall', 'Sheri Fairchild', 'Paulette D. Harris', 'Jesse Huntz', 'Tess Karl', 'Danny Kubiak', 'Kyle Licht', 'Jill Mack', 'Kris Mardula', 'Dan Martin', 'Scott Matheny', 'Vincenzo L. McNeill', 'Mairyn Mull', ""Mick O'Keefe"", 'Tim Saracki', 'Bill Smith', 'Jay Stockslader', 'Kerry Streams', 'Gary Sundown', 'Colin Taylor', 'Marcus Thompson Jr.', 'Corey Ronald Walter', 'Kaelyn Walter']"
Ariaferma|Ariaferma|tt12744120|['IT', 'CH']|2021|117|['Drama']|7.1|778.0|['Leonardo Di Costanzo']|['Leonardo di Costanzo', 'Bruno Oliviero', 'Valia Santella']|['Toni Servillo', 'Silvio Orlando', 'Fabrizio Ferracane', 'Salvatore Striano', 'Roberto De Francesco', 'Pietro Giuliano', 'Nicola Sechi', 'Leonardo Capuano', 'Antonio Buíl', 'Giovanni Vastarella', 'Francesca Ventriglia']
The Gentlemen|The Gentlemen|tt8367814|['US', 'GB']|2019|113|['Comedy', 'Crime', 'Action']|7.8|308037.0|['Guy Ritchie']|['Guy Ritchie', 'Ivan Atkinson', 'Marn Davies', 'Lauren Bond']|"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong', 'Lyne Renée', 'Colin Farrell', 'Henry Golding', 'Tom Wu', 'Chidi Ajufo', 'Hugh Grant', 'Simon R. Barker', 'Eddie Marsan', 'Jason Wong', 'John Dagleish', 'Jordan Long', 'Lily Frazer', 'Gershwyn Eustache Jnr', 'Samuel West', 'Geraldine Somerville', 'Eliot Sumner', 'Franz Drameh', 'Christopher Evangelou', 'James Warren', 'Sean Sagar', 'Bugzy Malone', 'Tom Rhys Harries', 'Danny Griffin', 'Max Bennett', 'Eugenia Kuzmina', 'Bruce Chong', 'Ashley McGuire', 'George Asprey', 'Shanu Hazzan', 'Jack Jones', 'Sammy Williams', 'Ryan Dean', 'Guy List', 'Marvin Campbell', 'Will Mackay', 'Matt Sherren', 'Jason Hunjan', 'Maurice Lee', 'Russell Balogh', 'Togo Igawa', ""Jack O'Connor"", 'McKell David', 'Isaiah Zev', 'David Garrick', 'Tom Lambert', 'Andy Cheung', 'Mark Rathbone', 'Ned Campbell', 'Andrew Greenough', 'Timothy Siddall', 'Dominic Gibbs', 'Simon Adkins', 'Chloe Arrowsmith', 'Brittany Ashworth', 'Steve Barnett', 'Alex Batareanu', 'Elle Black', 'Mike Bodnar', 'Troy Dixon', 'Amor Evans', 'Nicholle Hembra', 'Oleg Hill', 'Jason Lines', 'Guy Ritchie', 'Rubens Saboia', 'Tom Sandell', 'Steve Saunders', 'Jon Xue Zhang']"
Wrath of Man|La furia di un uomo - Wrath of Man|tt11110916|['US', 'GB']|2021|119|['Thriller', 'Crime', 'Drama', 'Action', 'Comedy']|7.1|154827.0|['Guy Ritchie']|['Nicolas Boukhrief', 'Éric Besnard', 'Guy Ritchie', 'Ivan Atkinson', 'Marn Davies']|"['Jason Statham', 'Holt McCallany', 'Rocci Williams', 'Josh Hartnett', 'Jeffrey Donovan', 'Scott Eastwood', 'Andy Garcia', 'Deobia Oparei', 'Laz Alonso', 'Raúl Castillo', 'Chris Reilly', 'Eddie Marsan', 'Niamh Algar', 'Tadhg Murphy', 'Alessandro Babalola', 'Mark Arnold', 'Gerald Tyler', 'Alex Ferns', 'Josh Cowdery', 'Jason Wong', 'Rob Delaney', 'Eli Brown', 'Kerry Shale', 'Cameron Jack', ""Darrell D'Silva"", 'Babs Olusanmokun', 'Thomas Dominique', 'Lyne Renée', 'Rebecca Calder', 'Matthew Illesley', 'Phoebe Farnham', 'Eve Macklin', 'Fernando Martinez', 'James Warren', 'Post Malone', 'Sam Shoubber', 'Anthony Elfonzia', 'Brian Schaeffer', 'Mark Cotone', 'Kojo Attah', 'Cain Aiden', 'Martin Bratanov', 'Stevee Davies', 'Nick Donald', 'Khalid Ghajji', 'Leonardo Lacaria', 'Leon Lee', 'Luke Lynch', 'Stephanie Mae', 'Montana Manning', 'Anthony Molinari', 'NF Ravi', 'Christian Sanderson', 'Mark Shrimpton', 'Daniel Joseph Woolf']"
The Tender Bar|The Tender Bar - Il bar delle grandi speranze|tt3108894|['US']|2021|104|['Drama']|6.7|22741.0|['George Clooney']|['William Monahan', 'J.R. Moehringer']|['Ben Affleck', 'Tye Sheridan', 'Daniel Ranieri', 'Lily Rabe', 'Christopher Lloyd', 'Max Martini', 'Rhenzy Feliz', 'Briana Middleton', 'Max Casella', 'Sondra James', 'Michael Braun', 'Matthew Delamater', 'Ivan Leung', 'Danielle Ranieri', 'Kate Avallone', 'Mark Boyett', 'Quincy Tyler Bernstine', 'Ezra Knight', 'David Carl', 'Shannon Collis', 'Keira Jo Lassor', 'Jennifer C. Johnson', 'Michael Steven Costello', 'Kate Middleton', 'Jackson Damon', 'Caroline Bergwall', 'Daniel Washington', 'Jenny Eagan', 'Steve Gagliastro', 'Annabella Valle', 'Clara Jane Kelly', 'Meara Mahoney Gross', 'Ron Livingston', 'Michael Balzano III', 'Alex Barber', 'Julia Bechler', 'Keith R Beck', 'Alissa Bourne', 'Christina Calvao', 'Elijah Carvalho', 'Nicole Chamberlain', 'Christian Cibotti', 'Cody Corelli', 'Daniel George', 'Patrick W. Griffin', 'Kimberly Howe', 'Chelsea Hueter', 'Dean H. Huh', 'Ian Dylan Hunt', 'Zack Ignoffo', 'Frankie Justin', 'Ken Kansky', 'Elbert Kim', 'James J. LaBonte', 'Jo-anne Lee', 'Leslie Luke', 'Jeff MacKinnon', 'Billy Meleady', 'Lily Narbonne', 'Donna Ognibene', 'Addison Oken', 'David Pridemore', 'Melanie Blake Roth', 'Lincoln Rulman', 'Mary Ann Schaub', 'Justin M. Tolliver', 'Chloe Trejo', 'Anastasia Tsikhanava', 'Samantha Vita', 'Mely Wu']
