ORIGINAL_TITLE|TITLE|ID|PRODUCTION|YEAR|RUNTIME|GENERES|RATING|N_VOTES|DIRECTOR|WRITERS|ACTORS
Rooney|Rooney|tt14637756|['GB']|2022|105|['Documentation', 'Sport']|6.9|1186.0|['Matt Smith']||['David Beckham', 'Sven-Göran Eriksson', 'Rio Ferdinand', 'Thierry Henry', 'Oliver Holt', 'Jeanette', 'José Mourinho', 'David Moyes', 'Gary Neville', 'Jonathan Northcroft', 'Cristiano Ronaldo', 'Coleen Rooney', 'Wayne Rooney', 'Wayne Snr', 'Paul Stretford', 'Tony', 'Clive Tyldesley', 'Arsène Wenger']
The Adventure of A.R.I.: My Robot Friend|A.R.I. - Il Mio Amico Robot|tt9578746|['US']|2022|89|['Scifi', 'Family']|4.4|346.0|['Stephen Shimek']|['Michael Baumgarten', 'Jerome Reygner-Kalfon', 'Sebastien Semon']|['Jude Manley', 'Sophia Alongi', 'J.R. Brown', 'Greg Lutz', 'Cait Brasel', 'Justin Phillip', 'Kyle Jacob Henry', 'Bill Jenkins', 'Caleb Hennigan', 'Jeremy Miller', 'Christy Tate', 'Allyson Cristofaro', 'Phil Redburn', 'Sean Amir Danley', 'Forrest Lynn', 'Craig Cole', 'Cheyenne Rose Martin', 'Rayne Thomas', 'Brent Whitacre', 'Mark Adam Goff', 'Tom Orr', 'Kody Burns', 'Rustin Daniels', 'Geren Davis', 'Julienne Rosa de Oliveira', 'Katie Fairbanks', 'Mya Hayes', 'Hannah Kyong', 'Connie Lynn Moore', 'R. Warren Nelson', 'Dathan Smith', 'David C Tam', 'Zachary Turner', 'Karla Vanatta', 'Angel Vides', 'Jake Washburn', 'Greg Williams', 'Kenneth Wayne Wood']
जलसा|Jalsa|tt15361028|['IN']|2022|127|['Thriller']|||['Suresh Triveni']|['Prajwal Chandrashekar', 'Abbas Dalal', 'Hussain Dalal', 'Suresh Triveni']|['Vidya Balan', 'Shefali Shah', 'Rohini Hattangadi', 'Vidhatri Bandi', 'Manav Kaul', 'Iqbal Khan', 'Surya Kasibhatla', 'Shrikant Yadav', 'Ghanshyam Lalsa', 'Gurpal Singh', 'Shafeen Patel', 'Sharad', 'Kashish Rizwan', 'Junaid Khan', 'Vijay Nikam', 'Trushant Ingle', 'Monu Gurjar', 'Uday Vir Singh Yadav', 'Mangesh Desai', 'Sanjana Deshmukh', 'Sofiya Khan', 'Sahil Brown', 'Abbas Dalal', 'Ajit Kelkar', 'Vicky Baidnath', 'Kishore Ganghane', 'Chris George', 'Sharad Jadhav', 'Jolly Kumar', 'Mitresh Mahesh', 'Gayatri Nayar', 'Archana Patel', 'Nirmal Raghav', 'Nirmit Vaishnav']
Federica Pellegrini - Underwater|Federica Pellegrini - Underwater|tt17055226|['IT']|2022|89|['Documentation']|6.7|61.0|['Sara Ristori']|['Valdo Gamberutti', 'Sara Ristori', 'Davide Savelli']|['Federica Pellegrini']
ホームステイ|HOMESTAY|tt17077058|['JP']|2022|112|['Fantasy', 'Drama', 'Romance']|6.5|48.0|['Natsuki Seta']||['Kento Nagao', 'Rikako Yagi', 'Anna Yamada']
गहराइयाँ|Gehraiyaan|tt16492964|['IN']|2022|148|['Romance', 'Comedy', 'Drama']|6.2|39989.0|['Shakun Batra']|['Shakun Batra', 'Ayesha DeVitre', 'Sumit Roy', 'Yash Sahai']|['Deepika Padukone', 'Ananya Pandey', 'Dhairya Karwa', 'Naseeruddin Shah', 'Siddhant Chaturvedi', 'Rajat Kapoor', 'Backagaindancer', 'Pavleen Gujral', 'Shehzad Shaikh', 'Shataf Figar', 'Natasha Rastogi', 'Kanupriya Gupta', 'Neha Vyas', 'Aastha Khanna', 'Kamal Adib', 'Takesh Singh', 'Mohini Kewalramani', 'Kanika Dang', 'Yamini Joshi', 'Bhakti Maniar', 'Jiten Jatania', 'Ananya Anand', 'Shereena Master', 'Gautam Berde', 'Zubin Sethi', 'Sankalp Luthra', 'Kavita Gupta', 'Karan Sharma', 'Vihaan Chaudhary', 'Ashish Singh', 'Varun Narayan', 'Vishaka Kavlekar', 'Bunty', 'Deepak Kriplani Palani', 'Imran Chappar', 'Ankita Podder', 'Sunil Borkar', 'Rhea', 'Yash Sahai', 'Fiona Gonsalves', 'Sonam Wangdi', 'Abhishek', 'Vedansh', 'Deepak Kriplani', 'Arzoo', 'Karan Kapoor', 'Ayesha Bilimoria', 'Eroll Marks', 'Reshma', 'Alison Gonsalves', 'Vikhyat Sahni', 'Anaaya Anand', 'Nazeen Madan', 'Rohit Kapoor', 'Anup Sharma', 'Chandani Zatakia']
Sumaira Shaikh: Dongri Danger|Dongri Danger|tt18305352|['IN']|2022|56|['Comedy']|5.0|10.0|['Sumukhi Suresh']||['Sumaira Shaikh']
Mahaan|Mahaan|tt12472554|['IN']|2022|163|['Drama', 'Thriller', 'Action']|8.1|9081.0|['Karthik Subbaraj']|['Karthik Subbaraj']|['Vikram', 'Simran', 'Dhruv Vikram', 'Bobby Simha', 'Vettai Muthu Kumar', 'Sananth', 'Alaudeen', 'Amoz', 'Anbu', 'Bharathan', 'Vani Bhojan', 'Ram Charles', 'Aakshath Das', 'Deva', 'Ezhil', 'Benito Franklin', 'Gajaraj', 'Gunalan', 'Kaleeswaran', 'Kalivaanan', 'Karthik', 'Karthikeyan', 'Kashvi', 'Jai Krishna', 'Kumar', 'Nithish Kumar', 'Sasi Kumar', 'Sathish Kumar', 'Roshan Mark Lawrence', 'Louis', 'Manokaran', 'Balu Miranda', 'Murugavel', 'Murugusekar', 'Esakki Muthu', 'Vijaya Muthu', 'Sridhar Narayanan', 'Aadukalam Naren', 'Nathan', 'Deepak Paramesh', 'Pargunan', 'Sathya Prema', 'Madhu Priya', 'Master Raghavan', 'Raja', 'Ramachandran', 'Ramanisamy', 'Ruthru', 'Sabari', 'Sachin', 'Balaji Sakthivel', 'Sanjay', 'Sai Shankar', 'Virendar Sharma', 'Mani Simon', 'Paramjith Singh', 'Sirajudeen', 'Subatra', 'Subramanian', 'Sai Tamil', 'Vetri', 'Vishalini', 'Yuvaraj']
One Cut Two Cut|One Cut Two Cut|tt17520606|['IN']|2022|88|['Comedy']|4.7|461.0|['Vamsidhar Bhogaraju']|['Vamsidhar Bhogaraju', 'Danish Sait']|['Apoorva Amaresh', 'Hmt Ramesh Babu', 'Balaji', 'Aruna Balraj', 'Prakash Belawadi', 'Bhanupriya', 'Jayanth Bhat', 'Vamsidhar Bhogaraju', 'Adishesh Bs', 'Chandrakanth', 'Chirag', 'Nischal Dambekodi', 'Darshan', 'Dhanushree', 'Dimpy Fadhya', 'Gaurav', 'Gautham', 'Manosh Sen Gupta', 'Ashwin Hassan', 'Samyuktha Hornadu', 'Keerthan', 'Boris Kenneth', 'Kishan', 'Krishnamurthy', 'Vineeth Kumar', 'Mahalakshmi', 'Sampath Maitreya', 'Narsimha Murthy', 'Soundarya Nagaraj', 'Namani', 'Nandish', 'Suhas Navaratna', 'Neelakanta', 'Roopa Rayappa', 'Rishi', 'Danish Sait', 'Ajay Samson', 'Subramani', 'Mansee Shah Thard', 'Shree Vaishnav', 'Varsha']
Family Pack|Family Pack|tt12344970|['IN']|2022|110|['Comedy', 'Drama', 'Romance']|7.1|189.0|['Arjun Kumar S']|['Arjun Kumar .S.']|['Sihi Kahi Chandru', 'Dattanna', 'Chandana Gowda', 'Chandu Gowda', 'Nidhi Gowda', 'Sharmitha Gowda', 'Mahantesh Hiremath', 'Amrutha Iyengar', 'Jahangir', 'Sadhu Kokila', 'Achyuth Kumar', 'Master Mourya', 'Nagabhushana', 'Nishchitha', 'Raaghu Raamanakoppa', 'Rangayana Raghu', 'Shruthi Ramesh', 'Padmaja Rao', 'Pooja Rao', 'Anupa Satish', 'Sujay Shastry', 'Likith Shetty', 'Santhosh Shetty', 'Shivram', 'Badarinath Venkatesh', 'Master Yuvaan']
Pawankhind|पावनखिंड|tt14448632|['IN']|2022|153|['Drama', 'History', 'Action']|9.9|2036.0|['Digpal Lanjekar']|['Digpal Lanjekar']|['Chinmay Mandlekar', 'Mrinal Kulkarni', 'Ajay Purkar', 'Ruchi Savarn Mohan', 'Prajakta Mali', 'Surabhi Bhave', 'Ujwala Jog', 'Madhavi Nimkar', 'Sameer Dharmadhikari', 'Kshitee Jog', 'Astad Kale', 'Rishi Saxena', 'Ankit Mohan', 'Dipti Ketkar', 'Harish Dudhade', 'Akshay Waghmare', 'Ajinkya Nanaware', 'Bipin Suresh Surve', 'Vaibhav Mangale', 'Sunil Jadhav', 'Sachin Bhilare', 'Vikram Gaikwad', 'Shivraj Vaychal', 'Rajan Bhise', 'Rohan Mankani', 'Sushrut Mankani', 'Jayendra More', 'Stavan Shinde', 'Amir Tadwalkar', 'Shivraj Waichal']
Good Luck Sakhi|Good Luck Sakhi|tt11295246|['IN']|2022|118|['Romance', 'Drama']|7.3|1424.0|['Aanchal Agarwal', 'Nagesh Kukunoor']|['Nagesh Kukunoor', 'Sandeep Raj']|['Keerthy Suresh', 'Aadhi', 'Jagapathi Babu', 'Ramaprabha', 'Rahul Ramakrishna', 'Raghu Babu', 'Gayatri Bhargavi', 'Bindu Chandramouli', 'Lalitha Shivangi Prakash Deshpande', 'Harshini', 'Kumar Kasaram', 'Kavitha', 'Krishna Kireeti', 'Abhishek Maharshi', 'Mallikarjun', 'Bhaskar Manyam', 'Nagoor', 'Guru Pavan', 'Poornaji', 'Prabhavathi', 'Purushotham', 'Purushottham', 'Lt Venu Gopal Rao', 'Prasad Sharma', 'Divya Sripada', 'Vv Subramanyam', 'Swetaa Varma', 'Venugopal']
ആറാട്ട്|Aaraattu|tt13468976|['IN']|2022|168|['Drama', 'Comedy', 'Action']|5.9|1835.0|['B. Unnikrishnan']|['Udaykrishnan']|['Mohanlal', 'Shraddha Srinath', 'Siddique', 'Vijayaraghavan', 'Saikumar', 'Nedumudi Venu', 'Ramachandra Raju', 'Prabhakar', 'Ganesh Kumar', 'Swasika Vijay', 'Malavika Menon', 'Neha Saxena', 'Rachana Narayanankutty', 'Nandu', 'Maya Vishwanath', 'Biju Pappan', 'Rony David', 'Santhosh Keezhattoor', 'Ramu', 'Indrans', 'Shivaji Guruvayoor', 'Johny Antony', 'Kochu Preman', 'Anjali Nair', 'Tanvi Ram', 'Sreejith Ravi', 'Pradeep Kottayam', 'Prasanth', 'Riyaz Khan', 'Baiju Ezhupunna', 'Ravikumar', 'Seetha', 'Gaadha', 'Kottayam Ramesh', 'Ashwin Kumar', 'Sadhika Venugopal', 'Meera Nair', 'Lukman Lukku', 'Sharik Khan', 'Nandu Poduval', 'Biju Menon', 'Antony Perumbavoor', 'Dhruvan', 'A.R. Rahman', 'Drums Shivamani', 'V.K. Sriraman', 'Kalamandalam Gopi', 'Anarkali Nazar', 'Sampath Raj', 'Meka Srikanth', 'Anand', 'Senthil Krishna', 'Thalaivasal Vijay', 'Raghu', 'Renji Panicker', 'Alencier Ley Lopez', 'Nisthar Sait', 'Mohan Jose', 'Prem Kumar', 'Maniyanpilla Raju', 'Devan', 'Abu Salim', 'Jaise Jose', 'Santhosh', 'Suresh Krishna', 'Hareesh Kanaran', 'M.R. Gopakumar', 'John Vijay', 'Bijukuttan', 'Narayanan Nair', 'Sanjjanaa Galrani', 'Surabhi Lakshmi', 'Nayan Rosh T M']
Jaspreet Singh: Koi Load Nahi|Koi Load Nahi|||2022|59|['Comedy']|||||
Supereroi|Supereroi|tt10791152|['IT']|2021|100|['Drama', 'Comedy', 'Romance']|6.7|511.0|['Paolo Genovese']|['Paolo Genovese', 'Rolando Ravello', 'Paolo Costella']|['Alessandro Borghi', 'Jasmine Trinca', 'Vinicio Marchioni', 'Greta Scarano', 'Angelica Leo', 'Linda Caridi', 'Gwendolyn Gourvenec', 'Elena Sofia Ricci', 'Beppe Severgnini', 'Flavio Parenti', 'Giacomo Mattia', 'Ermanno Casari', 'Gianluca Gobbi', 'Maria Rita Pantaleoni', 'Federica Fracassi', 'Lorenzo Ferrante', 'Alberto Paradossi', 'Camilla Lehmann', 'Cecilia Campani', 'Sara Federico', 'Malcolm Pagani', 'Claudia Catalli', 'Carola Santopaolo', 'Ermelinda Abbate', 'Carmen Donata Albanese', 'Marco Betti', 'Davide Cabiddu', 'Fabio Argentini', 'Maria Caracciolo', 'Matteo Schimberni', 'Alessandro Galdini', 'Stefania Rinaldi', 'Cristina Ravasi', 'Anna Rota', 'Elena Sara Saeed', 'Liliana Maria Isella', 'Mario Talotta']
The King of Staten Island|Il re di Staten Island|tt9686708|['US']|2020|137|['Drama', 'Comedy']|7.1|58417.0|['Judd Apatow']|['Judd Apatow', 'Pete Davidson', 'Dave Sirus']|['Pete Davidson', 'Bel Powley', 'Ricky Velez', 'Lou Wilson', 'Moises Arias', 'Carly Aquilino', 'Marisa Tomei', 'Maude Apatow', 'Robert Vidal III', 'Angus Costello', 'Pauline Chalamet', 'Lynne Koplitz', 'Joseph Paul Kennedy', 'Nina Hellman', 'Jack Hamblin', 'Kevin Corrigan', 'Stephen Davidson', 'Keith Robinson', 'Luke David Blumm', 'Bill Burr', 'Liza Treyger', 'Derek Gaines', 'Meredith Handerhan', 'Rich Vos', 'Bonnie McFarlane', 'Jay Rodriguez', 'Steve Buscemi', 'Jimmy Tatro', 'Giselle King', 'John Sorrentino', 'Alexis Rae Forlenza', 'Domenick Lombardozzi', 'Rafael Poueriet', 'Pamela Adlon', 'Nana Mensah', 'Machine Gun Kelly', 'Kill', 'Anthony Lee Medina', 'Nyla Durdin', 'Katherine Ray Zimmerman', 'Lilly Brown', 'Robert Smigel', 'Jessica Kirson', 'Laurence Blum', 'David S. Lomax', 'Casey Davidson', 'Antonio Marino', 'Nils Johnson', 'Mario Polit', 'Mike Vecchione', 'Hank Strong', 'Action Bronson', 'Marilyn Torres', 'Teodorina Bello', 'Michelle Sohn', 'Alexandra Abrams', 'Tiffany Blair', 'Matthew Brandt', 'Raina Cheng', 'Leonys Delossantos', 'Anthony Ferrara', 'Tyler Hanson', 'Ken Holmes', 'Alexander Jameson', 'Gina Jun', 'Adam Keane', 'Tess Kondratiev', 'Rob LaColla Jr.', 'Mark Lehneman', 'Bob Leszczak', 'Alexander Low', 'Nico Chang Lynch', 'Marisa Marra', 'Eddy Mejia', 'Gary Miceli', 'Emma R. Mudd', 'Vincent Paolicelli', 'Madeline Faye Santoriello', 'Sabrina Sass', 'Matthew Silva', 'Jimmy Star', 'Gary VanManen', 'Sloane Wolfe', 'Isaac Hirotsu Woofter', 'Melania Zalipsky', 'Sophia Zalipsky', 'Victoria Zalipsky']
